modelo,metodo_busqueda,train_auc,test_auc,test_auc_ci_low,test_auc_ci_median,test_auc_ci_high,test_acc,test_f1,test_pr_auc,test_balanced_accuracy,gap_auc,n_evaluaciones,tiempo_busqueda_seg,best_params
Bagging,Grid Search,0.9898,0.9346,0.8587,0.9365,0.9873,0.8596,0.7333,0.7983,0.7985,0.0552,81,98.06,"{'max_features': 0.6, 'max_samples': 0.6, 'n_estimators': 200, 'select_k': 90}"
Bagging,Optuna,0.9875,0.9404,0.8668,0.9413,0.9912,0.8596,0.75,0.8005,0.8154,0.0471,200,344.03,"{'select_k': 20, 'n_estimators': 96, 'max_samples': 0.5982696853442921, 'max_features': 0.5146943586789201}"
Bagging,Random Search,0.9867,0.9434,0.8726,0.9444,0.9929,0.8596,0.75,0.8414,0.8154,0.0433,200,190.44,"{'max_features': 0.697260899304065, 'max_samples': 0.5533780329679422, 'n_estimators': 422, 'select_k': 17}"
LightGBM,Grid Search,0.9882,0.9404,0.8664,0.9413,0.9889,0.8947,0.8235,0.8508,0.8743,0.0478,162,190.75,"{'learning_rate': 0.02, 'max_depth': 4, 'n_estimators': 300, 'num_leaves': 31, 'select_k': 90}"
LightGBM,Optuna,0.9777,0.9279,0.8531,0.9287,0.9833,0.8772,0.8108,0.8291,0.8787,0.0498,200,104.7,"{'select_k': 20, 'n_estimators': 185, 'max_depth': 3, 'learning_rate': 0.0443122999554118, 'num_leaves': 66, 'subsample': 0.9899109515794168, 'colsample_bytree': 0.9995791856810624}"
LightGBM,Random Search,0.9732,0.9316,0.8571,0.933,0.986,0.8596,0.7778,0.8413,0.8493,0.0416,200,168.69,"{'colsample_bytree': 0.9089273566942557, 'learning_rate': 0.04750598394046546, 'max_depth': 3, 'n_estimators': 153, 'num_leaves': 122, 'subsample': 0.8243751886141545, 'select_k': 20}"
LinearSVC,Grid Search,0.8932,0.9125,0.8283,0.9158,0.9756,0.8246,0.7059,0.804,0.7904,-0.0193,15,1.4,"{'C': 0.01, 'select_k': 90}"
LinearSVC,Optuna,0.8865,0.9287,0.8483,0.9309,0.9849,0.8421,0.7097,0.8116,0.786,-0.0422,200,21.51,"{'select_k': 20, 'C': 0.3373975209222869}"
LinearSVC,Random Search,0.8794,0.9066,0.822,0.9085,0.973,0.8421,0.7097,0.786,0.786,-0.0272,200,4.0,"{'C': 0.09829324480069714, 'select_k': 19}"
Random Forest,Grid Search,0.9633,0.9301,0.8522,0.9321,0.9861,0.8596,0.7778,0.825,0.8493,0.0332,162,166.79,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 12, 'n_estimators': 700, 'select_k': 90}"
Random Forest,Optuna,0.944,0.9316,0.8513,0.9316,0.9889,0.9123,0.8571,0.7995,0.9037,0.0124,200,1399.38,"{'select_k': 16, 'n_estimators': 341, 'max_depth': 14, 'min_samples_split': 11, 'min_samples_leaf': 7, 'max_features': 'sqrt'}"
Random Forest,Random Search,0.9445,0.9301,0.8492,0.9299,0.9879,0.9123,0.8571,0.7978,0.9037,0.0144,200,195.09,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 7, 'min_samples_split': 6, 'n_estimators': 468, 'select_k': 16}"
Regresion Logistica,Grid Search,0.897,0.9404,0.8624,0.9428,0.9917,0.9123,0.8571,0.8468,0.9037,-0.0434,60,51.16,"{'C': 5, 'penalty': 'l2', 'select_k': 30}"
Regresion Logistica,Optuna,0.8826,0.8831,0.7895,0.8853,0.9615,0.7368,0.6512,0.7586,0.7618,-0.0005,200,331.13,"{'penalty': 'elasticnet', 'select_k': 16, 'C': 45.19716810955136, 'l1_ratio': 0.7483771714365834}"
Regresion Logistica,Random Search,0.8834,0.8816,0.7867,0.884,0.9604,0.7368,0.6512,0.7576,0.7618,0.0018,200,44.14,"{'C': 32.96277514097631, 'l1_ratio': 0.910471278403273, 'penalty': 'elasticnet', 'select_k': 16}"
RidgeClassifier,Grid Search,0.89,0.8875,0.7872,0.8897,0.965,0.8246,0.7059,0.7338,0.7904,0.0025,15,0.36,"{'alpha': 100, 'select_k': 90}"
RidgeClassifier,Optuna,0.8844,0.9228,0.8429,0.9238,0.9831,0.8421,0.7097,0.8056,0.786,-0.0384,200,21.57,"{'select_k': 20, 'alpha': 2.4922046793283275}"
RidgeClassifier,Random Search,0.8844,0.9228,0.8429,0.9238,0.9831,0.8421,0.7097,0.8056,0.786,-0.0384,200,3.88,"{'alpha': 2.2944454507602003, 'select_k': 20}"
XGBoost,Grid Search,0.9771,0.9463,0.8819,0.9482,0.9911,0.8772,0.7879,0.863,0.8449,0.0308,162,228.67,"{'gamma': 2, 'learning_rate': 0.06, 'max_depth': 4, 'n_estimators': 300, 'select_k': 90}"
XGBoost,Optuna,0.9856,0.9507,0.8875,0.9527,0.9943,0.8947,0.8333,0.8956,0.8912,0.0349,200,242.58,"{'select_k': 19, 'n_estimators': 515, 'max_depth': 3, 'learning_rate': 0.0870727689122314, 'subsample': 0.8968635111472597, 'colsample_bytree': 0.9735466364446275, 'gamma': 1.701543684984187}"
XGBoost,Random Search,0.9712,0.9493,0.8871,0.9501,0.9919,0.9123,0.8571,0.8733,0.9037,0.0219,200,34.33,"{'colsample_bytree': 0.6351550498160575, 'gamma': 2.4175946602234304, 'learning_rate': 0.01181426910603797, 'max_depth': 11, 'n_estimators': 858, 'subsample': 0.6206541911498051, 'select_k': 17}"
